2023-04-22 14:51:53,976 - args: Namespace(dataset='Computers', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, val_frac=0.05, test_frac=0.15, model='VGAE', mi_est='CLUBSample', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/ARGVA/mian_argva.py'], device=device(type='cuda', index=1))
2023-04-22 14:52:25,689 - Epoch:000, train_loss:5.4350, val_auc:0.8132, val_ap: 0.8119, text_auc:0.8119, text_ap: 0.8101
2023-04-22 14:52:25,954 - Epoch:001, train_loss:5.4158, val_auc:0.8188, val_ap: 0.8201, text_auc:0.8179, text_ap: 0.8196
2023-04-22 14:52:26,204 - Epoch:002, train_loss:5.3855, val_auc:0.8211, val_ap: 0.8232, text_auc:0.8202, text_ap: 0.8231
2023-04-22 14:52:26,446 - Epoch:003, train_loss:5.3676, val_auc:0.8219, val_ap: 0.8244, text_auc:0.8211, text_ap: 0.8244
2023-04-22 14:52:26,717 - Epoch:004, train_loss:5.3462, val_auc:0.8223, val_ap: 0.8251, text_auc:0.8215, text_ap: 0.8251
2023-04-22 14:52:26,961 - Epoch:005, train_loss:5.3235, val_auc:0.8226, val_ap: 0.8256, text_auc:0.8218, text_ap: 0.8256
2023-04-22 14:52:27,242 - Epoch:006, train_loss:5.3285, val_auc:0.8227, val_ap: 0.8258, text_auc:0.8219, text_ap: 0.8258
2023-04-22 14:52:27,510 - Epoch:007, train_loss:5.2539, val_auc:0.8228, val_ap: 0.8260, text_auc:0.8220, text_ap: 0.8260
2023-04-22 14:52:27,808 - Epoch:008, train_loss:5.2310, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8260
2023-04-22 14:52:28,149 - Epoch:009, train_loss:5.2056, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:28,497 - Epoch:010, train_loss:5.2154, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:28,794 - Epoch:011, train_loss:5.1560, val_auc:0.8228, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:29,097 - Epoch:012, train_loss:5.1117, val_auc:0.8228, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:29,401 - Epoch:013, train_loss:5.0952, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:29,738 - Epoch:014, train_loss:5.0580, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:30,081 - Epoch:015, train_loss:5.0059, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:30,423 - Epoch:016, train_loss:4.9702, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:30,764 - Epoch:017, train_loss:4.9734, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:31,090 - Epoch:018, train_loss:4.9104, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:31,427 - Epoch:019, train_loss:4.8784, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:31,720 - Epoch:020, train_loss:4.8310, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:32,025 - Epoch:021, train_loss:4.7920, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:32,318 - Epoch:022, train_loss:4.7450, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:32,624 - Epoch:023, train_loss:4.7180, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:32,923 - Epoch:024, train_loss:4.6430, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:33,230 - Epoch:025, train_loss:4.6351, val_auc:0.8229, val_ap: 0.8262, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:33,525 - Epoch:026, train_loss:4.5960, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:33,822 - Epoch:027, train_loss:4.5564, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
2023-04-22 14:52:34,128 - Epoch:028, train_loss:4.5230, val_auc:0.8229, val_ap: 0.8261, text_auc:0.8220, text_ap: 0.8261
