2023-04-22 14:26:03,709 - args: Namespace(dataset='Cornell', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, val_frac=0.05, test_frac=0.15, model='VGAE', mi_est='CLUBSample', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/ARGVA/mian_argva.py'], device=device(type='cuda', index=1))
2023-04-22 14:26:06,814 - Epoch:000, train_loss:5.0086, val_auc:0.8594, val_ap: 0.9139, text_auc:0.6712, text_ap: 0.7116
2023-04-22 14:26:06,866 - Epoch:001, train_loss:6.3255, val_auc:0.8906, val_ap: 0.9241, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:06,919 - Epoch:002, train_loss:5.8969, val_auc:0.8438, val_ap: 0.8998, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:06,973 - Epoch:003, train_loss:4.8589, val_auc:0.8281, val_ap: 0.8943, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,026 - Epoch:004, train_loss:4.9701, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,080 - Epoch:005, train_loss:5.3037, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,133 - Epoch:006, train_loss:5.1958, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,186 - Epoch:007, train_loss:4.8100, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,238 - Epoch:008, train_loss:4.3949, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,290 - Epoch:009, train_loss:4.7756, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,343 - Epoch:010, train_loss:4.5654, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,396 - Epoch:011, train_loss:5.1079, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,457 - Epoch:012, train_loss:5.8482, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,512 - Epoch:013, train_loss:5.4037, val_auc:0.8125, val_ap: 0.8887, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,565 - Epoch:014, train_loss:5.4756, val_auc:0.7969, val_ap: 0.8840, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,619 - Epoch:015, train_loss:4.9209, val_auc:0.7969, val_ap: 0.8840, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,676 - Epoch:016, train_loss:4.7066, val_auc:0.7969, val_ap: 0.8840, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,732 - Epoch:017, train_loss:4.6389, val_auc:0.7969, val_ap: 0.8840, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,791 - Epoch:018, train_loss:5.4313, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,848 - Epoch:019, train_loss:4.6544, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,901 - Epoch:020, train_loss:4.6411, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:07,954 - Epoch:021, train_loss:4.9393, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,007 - Epoch:022, train_loss:5.1831, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,060 - Epoch:023, train_loss:5.1460, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,112 - Epoch:024, train_loss:4.8501, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,173 - Epoch:025, train_loss:4.4135, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,226 - Epoch:026, train_loss:4.9788, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,278 - Epoch:027, train_loss:4.4023, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,333 - Epoch:028, train_loss:5.3593, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,385 - Epoch:029, train_loss:4.9772, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,438 - Epoch:030, train_loss:4.5986, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,496 - Epoch:031, train_loss:4.4425, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,549 - Epoch:032, train_loss:4.0601, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,604 - Epoch:033, train_loss:4.7687, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,656 - Epoch:034, train_loss:4.5294, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,708 - Epoch:035, train_loss:4.0439, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,761 - Epoch:036, train_loss:4.5752, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,815 - Epoch:037, train_loss:4.2214, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,873 - Epoch:038, train_loss:4.5089, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,927 - Epoch:039, train_loss:4.5096, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:08,981 - Epoch:040, train_loss:3.6527, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,034 - Epoch:041, train_loss:4.0033, val_auc:0.8125, val_ap: 0.8896, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,090 - Epoch:042, train_loss:4.3471, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,146 - Epoch:043, train_loss:4.3880, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,208 - Epoch:044, train_loss:4.2770, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,267 - Epoch:045, train_loss:4.3123, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,321 - Epoch:046, train_loss:4.1541, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,374 - Epoch:047, train_loss:4.0612, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,427 - Epoch:048, train_loss:4.0068, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,481 - Epoch:049, train_loss:4.6591, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,535 - Epoch:050, train_loss:3.9742, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,603 - Epoch:051, train_loss:3.8563, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,657 - Epoch:052, train_loss:4.0784, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,711 - Epoch:053, train_loss:3.9844, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,763 - Epoch:054, train_loss:3.7089, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,819 - Epoch:055, train_loss:3.6875, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,872 - Epoch:056, train_loss:4.1949, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,925 - Epoch:057, train_loss:3.6188, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:09,978 - Epoch:058, train_loss:3.5869, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:10,031 - Epoch:059, train_loss:3.2523, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:10,084 - Epoch:060, train_loss:3.3581, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
2023-04-22 14:26:10,137 - Epoch:061, train_loss:3.8814, val_auc:0.8281, val_ap: 0.8962, text_auc:0.7344, text_ap: 0.7926
