2023-04-22 14:27:13,301 - args: Namespace(dataset='Wisconsin', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, val_frac=0.05, test_frac=0.15, model='VGAE', mi_est='CLUBSample', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/ARGVA/mian_argva.py'], device=device(type='cuda', index=1))
2023-04-22 14:27:16,825 - Epoch:000, train_loss:4.7672, val_auc:0.5417, val_ap: 0.6380, text_auc:0.6472, text_ap: 0.7068
2023-04-22 14:27:16,870 - Epoch:001, train_loss:5.3097, val_auc:0.5278, val_ap: 0.6406, text_auc:0.6472, text_ap: 0.7068
2023-04-22 14:27:16,931 - Epoch:002, train_loss:5.9702, val_auc:0.5347, val_ap: 0.6510, text_auc:0.6512, text_ap: 0.7202
2023-04-22 14:27:16,999 - Epoch:003, train_loss:5.2781, val_auc:0.5347, val_ap: 0.6534, text_auc:0.6530, text_ap: 0.7226
2023-04-22 14:27:17,062 - Epoch:004, train_loss:5.2760, val_auc:0.5556, val_ap: 0.6663, text_auc:0.6611, text_ap: 0.7268
2023-04-22 14:27:17,124 - Epoch:005, train_loss:4.5865, val_auc:0.5625, val_ap: 0.6641, text_auc:0.6611, text_ap: 0.7294
2023-04-22 14:27:17,185 - Epoch:006, train_loss:5.1039, val_auc:0.5833, val_ap: 0.6782, text_auc:0.6654, text_ap: 0.7348
2023-04-22 14:27:17,238 - Epoch:007, train_loss:4.6415, val_auc:0.5764, val_ap: 0.6772, text_auc:0.6654, text_ap: 0.7348
2023-04-22 14:27:17,299 - Epoch:008, train_loss:5.1859, val_auc:0.5833, val_ap: 0.6828, text_auc:0.6662, text_ap: 0.7375
2023-04-22 14:27:17,360 - Epoch:009, train_loss:4.9958, val_auc:0.5833, val_ap: 0.6828, text_auc:0.6662, text_ap: 0.7375
2023-04-22 14:27:17,416 - Epoch:010, train_loss:4.7950, val_auc:0.5694, val_ap: 0.6690, text_auc:0.6662, text_ap: 0.7375
2023-04-22 14:27:17,470 - Epoch:011, train_loss:4.9098, val_auc:0.5556, val_ap: 0.6638, text_auc:0.6662, text_ap: 0.7375
2023-04-22 14:27:17,524 - Epoch:012, train_loss:5.0679, val_auc:0.5764, val_ap: 0.6886, text_auc:0.6662, text_ap: 0.7375
2023-04-22 14:27:17,586 - Epoch:013, train_loss:4.8783, val_auc:0.5833, val_ap: 0.6932, text_auc:0.6771, text_ap: 0.7463
2023-04-22 14:27:17,647 - Epoch:014, train_loss:4.8641, val_auc:0.5903, val_ap: 0.6987, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:17,709 - Epoch:015, train_loss:5.2586, val_auc:0.5972, val_ap: 0.7009, text_auc:0.6793, text_ap: 0.7474
2023-04-22 14:27:17,763 - Epoch:016, train_loss:4.8209, val_auc:0.5972, val_ap: 0.7009, text_auc:0.6793, text_ap: 0.7474
2023-04-22 14:27:17,832 - Epoch:017, train_loss:4.9807, val_auc:0.6042, val_ap: 0.7041, text_auc:0.6793, text_ap: 0.7487
2023-04-22 14:27:17,886 - Epoch:018, train_loss:5.0809, val_auc:0.5972, val_ap: 0.6985, text_auc:0.6793, text_ap: 0.7487
2023-04-22 14:27:17,941 - Epoch:019, train_loss:4.7639, val_auc:0.6042, val_ap: 0.7005, text_auc:0.6793, text_ap: 0.7487
2023-04-22 14:27:18,003 - Epoch:020, train_loss:4.6432, val_auc:0.6111, val_ap: 0.7043, text_auc:0.6793, text_ap: 0.7482
2023-04-22 14:27:18,056 - Epoch:021, train_loss:5.1518, val_auc:0.6042, val_ap: 0.7015, text_auc:0.6793, text_ap: 0.7482
2023-04-22 14:27:18,110 - Epoch:022, train_loss:4.3102, val_auc:0.6042, val_ap: 0.7015, text_auc:0.6793, text_ap: 0.7482
2023-04-22 14:27:18,172 - Epoch:023, train_loss:4.5358, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,230 - Epoch:024, train_loss:3.9609, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,286 - Epoch:025, train_loss:4.5576, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,340 - Epoch:026, train_loss:4.5440, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,394 - Epoch:027, train_loss:4.4037, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,448 - Epoch:028, train_loss:4.2455, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,503 - Epoch:029, train_loss:4.6056, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,558 - Epoch:030, train_loss:4.1072, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,612 - Epoch:031, train_loss:4.4222, val_auc:0.6111, val_ap: 0.7059, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,670 - Epoch:032, train_loss:3.8772, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,725 - Epoch:033, train_loss:4.0043, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,779 - Epoch:034, train_loss:4.1986, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,839 - Epoch:035, train_loss:4.4391, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,893 - Epoch:036, train_loss:3.8325, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:18,946 - Epoch:037, train_loss:4.3793, val_auc:0.6042, val_ap: 0.7037, text_auc:0.6764, text_ap: 0.7465
2023-04-22 14:27:19,021 - Epoch:038, train_loss:3.9728, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,075 - Epoch:039, train_loss:3.9759, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,128 - Epoch:040, train_loss:4.2618, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,183 - Epoch:041, train_loss:4.1152, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,242 - Epoch:042, train_loss:3.8907, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,296 - Epoch:043, train_loss:3.9591, val_auc:0.6111, val_ap: 0.7093, text_auc:0.6779, text_ap: 0.7467
2023-04-22 14:27:19,357 - Epoch:044, train_loss:3.8609, val_auc:0.6181, val_ap: 0.7121, text_auc:0.6779, text_ap: 0.7468
2023-04-22 14:27:19,418 - Epoch:045, train_loss:3.9291, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,471 - Epoch:046, train_loss:3.7819, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,526 - Epoch:047, train_loss:3.6014, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,580 - Epoch:048, train_loss:3.1485, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,636 - Epoch:049, train_loss:3.4871, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,690 - Epoch:050, train_loss:3.5325, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,744 - Epoch:051, train_loss:3.3759, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,798 - Epoch:052, train_loss:3.4087, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,853 - Epoch:053, train_loss:3.6249, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
2023-04-22 14:27:19,908 - Epoch:054, train_loss:3.6761, val_auc:0.6250, val_ap: 0.7190, text_auc:0.6786, text_ap: 0.7474
