2023-04-22 14:43:38,751 - args: Namespace(dataset='Cornell', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, mi_lr=0.003, alpha=0.01, k=5, x_dim=64, mi_iter=5, routit=3, val_frac=0.05, test_frac=0.15, dropout=0, model='VGAE', mi_est='CLUBSample', gpu=-1, trails=5, seed=-1, verbose=1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/DGAE/main_vgae_cora_80.py'], device=device(type='cuda', index=0))
2023-04-22 14:43:41,803 - Epoch:000, train_loss:16.4435, val_auc:0.7031, val_ap: 0.7768, text_auc:0.7208, text_ap: 0.7427
2023-04-22 14:43:42,154 - Epoch:001, train_loss:15.5174, val_auc:0.7031, val_ap: 0.7497
2023-04-22 14:43:42,516 - Epoch:002, train_loss:17.3240, val_auc:0.6719, val_ap: 0.7281
2023-04-22 14:43:42,878 - Epoch:003, train_loss:16.6090, val_auc:0.6719, val_ap: 0.6884
2023-04-22 14:43:43,241 - Epoch:004, train_loss:16.3966, val_auc:0.6562, val_ap: 0.6765
2023-04-22 14:43:43,604 - Epoch:005, train_loss:16.8141, val_auc:0.6562, val_ap: 0.6765
2023-04-22 14:43:43,966 - Epoch:006, train_loss:16.5521, val_auc:0.6406, val_ap: 0.6697
2023-04-22 14:43:44,327 - Epoch:007, train_loss:15.9352, val_auc:0.6406, val_ap: 0.6697
2023-04-22 14:43:44,691 - Epoch:008, train_loss:17.7315, val_auc:0.6250, val_ap: 0.6610
2023-04-22 14:43:45,053 - Epoch:009, train_loss:15.1443, val_auc:0.6406, val_ap: 0.7026
2023-04-22 14:43:45,414 - Epoch:010, train_loss:13.9825, val_auc:0.6875, val_ap: 0.7473
2023-04-22 14:43:45,777 - Epoch:011, train_loss:16.4315, val_auc:0.6875, val_ap: 0.7473
2023-04-22 14:43:46,139 - Epoch:012, train_loss:17.4631, val_auc:0.6875, val_ap: 0.7473
2023-04-22 14:43:46,501 - Epoch:013, train_loss:15.4026, val_auc:0.6875, val_ap: 0.7473
2023-04-22 14:43:46,864 - Epoch:014, train_loss:15.9818, val_auc:0.6875, val_ap: 0.7473
2023-04-22 14:43:47,227 - Epoch:015, train_loss:17.0707, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:47,591 - Epoch:016, train_loss:16.2661, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:47,952 - Epoch:017, train_loss:15.3818, val_auc:0.6719, val_ap: 0.7430
2023-04-22 14:43:48,314 - Epoch:018, train_loss:15.4263, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:48,676 - Epoch:019, train_loss:12.8362, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:49,038 - Epoch:020, train_loss:15.9159, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:49,401 - Epoch:021, train_loss:14.0041, val_auc:0.6719, val_ap: 0.7384
2023-04-22 14:43:49,764 - Epoch:022, train_loss:14.1474, val_auc:0.6562, val_ap: 0.7072
2023-04-22 14:43:50,125 - Epoch:023, train_loss:13.4137, val_auc:0.6562, val_ap: 0.7072
2023-04-22 14:43:50,488 - Epoch:024, train_loss:16.2735, val_auc:0.6562, val_ap: 0.7072
2023-04-22 14:43:50,850 - Epoch:025, train_loss:17.8189, val_auc:0.6562, val_ap: 0.7072
2023-04-22 14:43:51,212 - Epoch:026, train_loss:12.2349, val_auc:0.6641, val_ap: 0.7072
2023-04-22 14:43:51,578 - Epoch:027, train_loss:12.4752, val_auc:0.6719, val_ap: 0.7136
2023-04-22 14:43:51,938 - Epoch:028, train_loss:16.1324, val_auc:0.6875, val_ap: 0.7225
2023-04-22 14:43:52,299 - Epoch:029, train_loss:15.1421, val_auc:0.6875, val_ap: 0.7225
2023-04-22 14:43:52,662 - Epoch:030, train_loss:12.5219, val_auc:0.6875, val_ap: 0.7225
2023-04-22 14:43:53,024 - Epoch:031, train_loss:13.6840, val_auc:0.6875, val_ap: 0.7225
2023-04-22 14:43:53,387 - Epoch:032, train_loss:12.3643, val_auc:0.6875, val_ap: 0.7225
2023-04-22 14:43:53,752 - Epoch:033, train_loss:13.3325, val_auc:0.7031, val_ap: 0.7538
2023-04-22 14:43:54,111 - Epoch:034, train_loss:15.2984, val_auc:0.7031, val_ap: 0.7538
2023-04-22 14:43:54,479 - Epoch:035, train_loss:13.3960, val_auc:0.7188, val_ap: 0.7624, text_auc:0.7200, text_ap: 0.7321
2023-04-22 14:43:54,836 - Epoch:036, train_loss:13.2077, val_auc:0.7188, val_ap: 0.7624
2023-04-22 14:43:55,199 - Epoch:037, train_loss:12.8567, val_auc:0.7188, val_ap: 0.7624
2023-04-22 14:43:55,567 - Epoch:038, train_loss:14.5438, val_auc:0.7344, val_ap: 0.7708, text_auc:0.7168, text_ap: 0.7295
2023-04-22 14:43:55,933 - Epoch:039, train_loss:12.1295, val_auc:0.7344, val_ap: 0.7708
2023-04-22 14:43:56,295 - Epoch:040, train_loss:11.4166, val_auc:0.7344, val_ap: 0.7708
