2023-04-22 14:25:10,685 - args: Namespace(dataset='Cornell', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, val_frac=0.05, test_frac=0.15, dropout=0, model='GAE', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/VGNAE/main_VGAE.py'], device=device(type='cuda', index=1))
2023-04-22 14:25:13,683 - Epoch:000, train_loss:2.7166, val_auc:0.6875, val_ap: 0.7618, text_auc:0.7920, text_ap: 0.8243
2023-04-22 14:25:13,697 - Epoch:001, train_loss:2.4781, val_auc:0.7969, val_ap: 0.8717, text_auc:0.7760, text_ap: 0.8178
2023-04-22 14:25:13,712 - Epoch:002, train_loss:1.8311, val_auc:0.9531, val_ap: 0.9594, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,724 - Epoch:003, train_loss:1.2719, val_auc:0.9375, val_ap: 0.9472, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,736 - Epoch:004, train_loss:1.2411, val_auc:0.9375, val_ap: 0.9472, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,750 - Epoch:005, train_loss:1.3146, val_auc:0.9219, val_ap: 0.9294, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,764 - Epoch:006, train_loss:1.1693, val_auc:0.9219, val_ap: 0.9294, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,778 - Epoch:007, train_loss:1.1728, val_auc:0.9375, val_ap: 0.9415, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,794 - Epoch:008, train_loss:1.0771, val_auc:0.9531, val_ap: 0.9594, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,811 - Epoch:009, train_loss:1.0870, val_auc:0.9531, val_ap: 0.9594, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,828 - Epoch:010, train_loss:1.1067, val_auc:0.9531, val_ap: 0.9594, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,846 - Epoch:011, train_loss:1.0356, val_auc:0.9531, val_ap: 0.9594, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,864 - Epoch:012, train_loss:1.0605, val_auc:0.9375, val_ap: 0.9415, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,882 - Epoch:013, train_loss:1.0412, val_auc:0.9375, val_ap: 0.9415, text_auc:0.7536, text_ap: 0.8047
2023-04-22 14:25:13,900 - Epoch:014, train_loss:1.0477, val_auc:0.9375, val_ap: 0.9415, text_auc:0.7536, text_ap: 0.8047
