2023-04-22 15:04:01,598 - args: Namespace(dataset='Photo', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, val_frac=0.05, test_frac=0.15, dropout=0, model='VGAE', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/VGNAE/main_VGAE.py'], device=device(type='cuda', index=1))
2023-04-22 15:04:05,338 - Epoch:000, train_loss:10.0515, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7915
2023-04-22 15:04:05,503 - Epoch:001, train_loss:9.8850, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7915
2023-04-22 15:04:05,628 - Epoch:002, train_loss:9.6540, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7915
2023-04-22 15:04:05,759 - Epoch:003, train_loss:9.3636, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:05,965 - Epoch:004, train_loss:9.2686, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,127 - Epoch:005, train_loss:8.9835, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,338 - Epoch:006, train_loss:8.8150, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,462 - Epoch:007, train_loss:8.6076, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,593 - Epoch:008, train_loss:8.4308, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,774 - Epoch:009, train_loss:8.3006, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:06,978 - Epoch:010, train_loss:8.0424, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:07,179 - Epoch:011, train_loss:7.8776, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7965, text_ap: 0.7916
2023-04-22 15:04:07,342 - Epoch:012, train_loss:7.7910, val_auc:0.7902, val_ap: 0.7875, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:07,469 - Epoch:013, train_loss:7.5582, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:07,622 - Epoch:014, train_loss:7.4352, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:07,826 - Epoch:015, train_loss:7.2204, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,030 - Epoch:016, train_loss:7.1095, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,208 - Epoch:017, train_loss:6.9510, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,339 - Epoch:018, train_loss:6.8133, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,461 - Epoch:019, train_loss:6.6695, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,678 - Epoch:020, train_loss:6.5289, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:08,910 - Epoch:021, train_loss:6.4297, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:09,118 - Epoch:022, train_loss:6.3210, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:09,263 - Epoch:023, train_loss:6.2071, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:09,390 - Epoch:024, train_loss:6.0979, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:09,616 - Epoch:025, train_loss:5.9565, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:09,840 - Epoch:026, train_loss:5.8282, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,036 - Epoch:027, train_loss:5.7750, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,179 - Epoch:028, train_loss:5.6549, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,347 - Epoch:029, train_loss:5.5319, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,557 - Epoch:030, train_loss:5.4527, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,761 - Epoch:031, train_loss:5.3629, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:10,970 - Epoch:032, train_loss:5.2783, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:11,110 - Epoch:033, train_loss:5.2304, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:11,304 - Epoch:034, train_loss:5.1541, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:11,530 - Epoch:035, train_loss:5.0815, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:11,752 - Epoch:036, train_loss:4.9594, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:11,923 - Epoch:037, train_loss:4.8954, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:12,105 - Epoch:038, train_loss:4.8082, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:12,330 - Epoch:039, train_loss:4.7688, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:12,553 - Epoch:040, train_loss:4.7200, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:12,725 - Epoch:041, train_loss:4.5983, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:12,868 - Epoch:042, train_loss:4.5644, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:13,085 - Epoch:043, train_loss:4.4794, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:13,331 - Epoch:044, train_loss:4.4159, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:13,539 - Epoch:045, train_loss:4.3523, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:13,706 - Epoch:046, train_loss:4.2990, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:13,903 - Epoch:047, train_loss:4.2665, val_auc:0.7902, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:14,126 - Epoch:048, train_loss:4.2007, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:14,350 - Epoch:049, train_loss:4.1826, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:14,526 - Epoch:050, train_loss:4.1131, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:14,670 - Epoch:051, train_loss:4.0352, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:14,917 - Epoch:052, train_loss:4.0293, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:15,158 - Epoch:053, train_loss:3.9792, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:15,381 - Epoch:054, train_loss:3.9115, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:15,526 - Epoch:055, train_loss:3.8960, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7916
2023-04-22 15:04:15,717 - Epoch:056, train_loss:3.8282, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:15,943 - Epoch:057, train_loss:3.8161, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:16,167 - Epoch:058, train_loss:3.7683, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:16,348 - Epoch:059, train_loss:3.7222, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:16,495 - Epoch:060, train_loss:3.6876, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:16,750 - Epoch:061, train_loss:3.6725, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:16,977 - Epoch:062, train_loss:3.6379, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:17,171 - Epoch:063, train_loss:3.5895, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:17,310 - Epoch:064, train_loss:3.5532, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:17,474 - Epoch:065, train_loss:3.5392, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:17,696 - Epoch:066, train_loss:3.4939, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:17,919 - Epoch:067, train_loss:3.4621, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:18,091 - Epoch:068, train_loss:3.4397, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:18,232 - Epoch:069, train_loss:3.4030, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:18,424 - Epoch:070, train_loss:3.3687, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:18,644 - Epoch:071, train_loss:3.3723, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:18,869 - Epoch:072, train_loss:3.3447, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:19,014 - Epoch:073, train_loss:3.2770, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:19,156 - Epoch:074, train_loss:3.2804, val_auc:0.7903, val_ap: 0.7876, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:19,355 - Epoch:075, train_loss:3.2303, val_auc:0.7903, val_ap: 0.7877, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:19,575 - Epoch:076, train_loss:3.2284, val_auc:0.7903, val_ap: 0.7877, text_auc:0.7966, text_ap: 0.7917
2023-04-22 15:04:19,778 - Epoch:077, train_loss:3.1983, val_auc:0.7903, val_ap: 0.7877, text_auc:0.7967, text_ap: 0.7917
