2023-04-22 14:28:46,524 - args: Namespace(dataset='Texas', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, val_frac=0.05, test_frac=0.15, dropout=0, model='GAE', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/VGNAE/main_VGAE.py'], device=device(type='cuda', index=1))
2023-04-22 14:28:49,454 - Epoch:000, train_loss:2.7692, val_auc:0.7778, val_ap: 0.8277, text_auc:0.7970, text_ap: 0.8571
2023-04-22 14:28:49,470 - Epoch:001, train_loss:2.6599, val_auc:0.8272, val_ap: 0.8810, text_auc:0.8093, text_ap: 0.8692
2023-04-22 14:28:49,486 - Epoch:002, train_loss:2.1908, val_auc:0.9136, val_ap: 0.9297, text_auc:0.8299, text_ap: 0.8851
2023-04-22 14:28:49,504 - Epoch:003, train_loss:1.2866, val_auc:0.9506, val_ap: 0.9536, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,517 - Epoch:004, train_loss:1.3328, val_auc:0.9506, val_ap: 0.9536, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,532 - Epoch:005, train_loss:1.4160, val_auc:0.9259, val_ap: 0.9301, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,547 - Epoch:006, train_loss:1.2541, val_auc:0.9506, val_ap: 0.9536, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,563 - Epoch:007, train_loss:1.0743, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,580 - Epoch:008, train_loss:1.0924, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,596 - Epoch:009, train_loss:1.1487, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,614 - Epoch:010, train_loss:1.1070, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,631 - Epoch:011, train_loss:1.0371, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,648 - Epoch:012, train_loss:1.0229, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,665 - Epoch:013, train_loss:1.0100, val_auc:0.9383, val_ap: 0.9283, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,683 - Epoch:014, train_loss:1.0082, val_auc:0.9506, val_ap: 0.9468, text_auc:0.8080, text_ap: 0.8715
2023-04-22 14:28:49,707 - Epoch:015, train_loss:1.0450, val_auc:0.9630, val_ap: 0.9627, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,724 - Epoch:016, train_loss:0.9570, val_auc:0.9630, val_ap: 0.9627, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,742 - Epoch:017, train_loss:0.9570, val_auc:0.9630, val_ap: 0.9627, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,759 - Epoch:018, train_loss:0.9918, val_auc:0.9630, val_ap: 0.9627, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,776 - Epoch:019, train_loss:0.9319, val_auc:0.9506, val_ap: 0.9468, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,794 - Epoch:020, train_loss:0.8924, val_auc:0.9383, val_ap: 0.9283, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,811 - Epoch:021, train_loss:0.8923, val_auc:0.9383, val_ap: 0.9283, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,827 - Epoch:022, train_loss:0.9246, val_auc:0.9259, val_ap: 0.9192, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,845 - Epoch:023, train_loss:0.8992, val_auc:0.8765, val_ap: 0.8872, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,861 - Epoch:024, train_loss:0.8866, val_auc:0.8395, val_ap: 0.8728, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,878 - Epoch:025, train_loss:0.8890, val_auc:0.8148, val_ap: 0.8469, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,895 - Epoch:026, train_loss:0.8807, val_auc:0.8395, val_ap: 0.8772, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,913 - Epoch:027, train_loss:0.9098, val_auc:0.8395, val_ap: 0.8772, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,930 - Epoch:028, train_loss:0.8316, val_auc:0.8395, val_ap: 0.8838, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,947 - Epoch:029, train_loss:0.8179, val_auc:0.8519, val_ap: 0.9023, text_auc:0.7503, text_ap: 0.8332
2023-04-22 14:28:49,965 - Epoch:030, train_loss:0.8425, val_auc:0.8642, val_ap: 0.9182, text_auc:0.7503, text_ap: 0.8332
