2023-04-22 14:27:04,812 - args: Namespace(dataset='Wisconsin', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, val_frac=0.05, test_frac=0.15, dropout=0, model='GAE', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/VGNAE/main_VGAE.py'], device=device(type='cuda', index=1))
2023-04-22 14:27:07,881 - Epoch:000, train_loss:2.9280, val_auc:0.7153, val_ap: 0.7621, text_auc:0.7736, text_ap: 0.7916
2023-04-22 14:27:07,896 - Epoch:001, train_loss:2.6011, val_auc:0.7917, val_ap: 0.8506, text_auc:0.8787, text_ap: 0.8752
2023-04-22 14:27:07,914 - Epoch:002, train_loss:1.8143, val_auc:0.8194, val_ap: 0.8745, text_auc:0.8985, text_ap: 0.8985
2023-04-22 14:27:07,928 - Epoch:003, train_loss:1.3681, val_auc:0.8194, val_ap: 0.8644, text_auc:0.8985, text_ap: 0.8985
2023-04-22 14:27:07,941 - Epoch:004, train_loss:1.4061, val_auc:0.8194, val_ap: 0.8710, text_auc:0.8985, text_ap: 0.8985
2023-04-22 14:27:07,956 - Epoch:005, train_loss:1.3083, val_auc:0.8125, val_ap: 0.8442, text_auc:0.8985, text_ap: 0.8985
2023-04-22 14:27:07,971 - Epoch:006, train_loss:1.2192, val_auc:0.8264, val_ap: 0.8520, text_auc:0.8985, text_ap: 0.8985
2023-04-22 14:27:07,995 - Epoch:007, train_loss:1.1924, val_auc:0.8403, val_ap: 0.8553, text_auc:0.8882, text_ap: 0.8901
2023-04-22 14:27:08,018 - Epoch:008, train_loss:1.1762, val_auc:0.8472, val_ap: 0.8580, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,034 - Epoch:009, train_loss:1.0759, val_auc:0.8403, val_ap: 0.8413, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,052 - Epoch:010, train_loss:1.0963, val_auc:0.8403, val_ap: 0.8413, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,069 - Epoch:011, train_loss:1.1864, val_auc:0.8472, val_ap: 0.8580, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,085 - Epoch:012, train_loss:1.1254, val_auc:0.8264, val_ap: 0.8435, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,103 - Epoch:013, train_loss:1.0741, val_auc:0.8056, val_ap: 0.8334, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,120 - Epoch:014, train_loss:1.1255, val_auc:0.7708, val_ap: 0.8333, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,138 - Epoch:015, train_loss:1.1024, val_auc:0.7500, val_ap: 0.8261, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,155 - Epoch:016, train_loss:1.0873, val_auc:0.7361, val_ap: 0.8223, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,173 - Epoch:017, train_loss:1.0783, val_auc:0.7431, val_ap: 0.8257, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,190 - Epoch:018, train_loss:1.0837, val_auc:0.7500, val_ap: 0.8275, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,207 - Epoch:019, train_loss:1.0622, val_auc:0.7500, val_ap: 0.8275, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,224 - Epoch:020, train_loss:1.0709, val_auc:0.7569, val_ap: 0.8295, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,242 - Epoch:021, train_loss:1.0937, val_auc:0.7708, val_ap: 0.8358, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,259 - Epoch:022, train_loss:1.0536, val_auc:0.7847, val_ap: 0.8301, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,276 - Epoch:023, train_loss:0.9958, val_auc:0.7847, val_ap: 0.8301, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,294 - Epoch:024, train_loss:0.9273, val_auc:0.7917, val_ap: 0.8321, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,312 - Epoch:025, train_loss:1.0095, val_auc:0.7778, val_ap: 0.8376, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,329 - Epoch:026, train_loss:0.9184, val_auc:0.7639, val_ap: 0.8313, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,346 - Epoch:027, train_loss:0.9252, val_auc:0.7431, val_ap: 0.8187, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,365 - Epoch:028, train_loss:0.9582, val_auc:0.7292, val_ap: 0.8136, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,383 - Epoch:029, train_loss:0.9644, val_auc:0.7361, val_ap: 0.8210, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,402 - Epoch:030, train_loss:0.9401, val_auc:0.7361, val_ap: 0.8210, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,420 - Epoch:031, train_loss:0.9060, val_auc:0.7361, val_ap: 0.8210, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,438 - Epoch:032, train_loss:0.8696, val_auc:0.7500, val_ap: 0.8275, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,457 - Epoch:033, train_loss:0.9404, val_auc:0.7500, val_ap: 0.8282, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,476 - Epoch:034, train_loss:0.8785, val_auc:0.7500, val_ap: 0.8282, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,494 - Epoch:035, train_loss:0.9161, val_auc:0.7500, val_ap: 0.8282, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,512 - Epoch:036, train_loss:0.8593, val_auc:0.7292, val_ap: 0.8136, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,530 - Epoch:037, train_loss:0.9057, val_auc:0.7292, val_ap: 0.8136, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,549 - Epoch:038, train_loss:0.8609, val_auc:0.7361, val_ap: 0.8177, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,567 - Epoch:039, train_loss:0.9013, val_auc:0.7361, val_ap: 0.8177, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,586 - Epoch:040, train_loss:0.8859, val_auc:0.7292, val_ap: 0.8096, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,604 - Epoch:041, train_loss:0.8694, val_auc:0.7431, val_ap: 0.8175, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,622 - Epoch:042, train_loss:0.8442, val_auc:0.7500, val_ap: 0.8232, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,640 - Epoch:043, train_loss:0.8767, val_auc:0.7431, val_ap: 0.8175, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,658 - Epoch:044, train_loss:0.8811, val_auc:0.7431, val_ap: 0.8263, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,683 - Epoch:045, train_loss:0.8188, val_auc:0.7361, val_ap: 0.8236, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,701 - Epoch:046, train_loss:0.8404, val_auc:0.7222, val_ap: 0.8127, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,719 - Epoch:047, train_loss:0.8446, val_auc:0.7222, val_ap: 0.8127, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,736 - Epoch:048, train_loss:0.8307, val_auc:0.7153, val_ap: 0.8008, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,754 - Epoch:049, train_loss:0.8409, val_auc:0.7083, val_ap: 0.7990, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,771 - Epoch:050, train_loss:0.7836, val_auc:0.7153, val_ap: 0.8051, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,789 - Epoch:051, train_loss:0.8674, val_auc:0.7014, val_ap: 0.7985, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,806 - Epoch:052, train_loss:0.8828, val_auc:0.6806, val_ap: 0.7917, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,824 - Epoch:053, train_loss:0.8058, val_auc:0.6736, val_ap: 0.7889, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,842 - Epoch:054, train_loss:0.8553, val_auc:0.6944, val_ap: 0.7957, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,859 - Epoch:055, train_loss:0.8466, val_auc:0.7153, val_ap: 0.7987, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,878 - Epoch:056, train_loss:0.8266, val_auc:0.7222, val_ap: 0.8106, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,896 - Epoch:057, train_loss:0.8189, val_auc:0.7153, val_ap: 0.7979, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,913 - Epoch:058, train_loss:0.8175, val_auc:0.7153, val_ap: 0.7979, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,931 - Epoch:059, train_loss:0.8598, val_auc:0.7153, val_ap: 0.8019, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,948 - Epoch:060, train_loss:0.8508, val_auc:0.6944, val_ap: 0.7907, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,966 - Epoch:061, train_loss:0.8646, val_auc:0.6806, val_ap: 0.7831, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:08,982 - Epoch:062, train_loss:0.8496, val_auc:0.6667, val_ap: 0.7745, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,000 - Epoch:063, train_loss:0.8220, val_auc:0.6806, val_ap: 0.7806, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,018 - Epoch:064, train_loss:0.8465, val_auc:0.6944, val_ap: 0.7876, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,035 - Epoch:065, train_loss:0.8459, val_auc:0.7014, val_ap: 0.7898, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,051 - Epoch:066, train_loss:0.8540, val_auc:0.7014, val_ap: 0.7856, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,069 - Epoch:067, train_loss:0.8262, val_auc:0.7153, val_ap: 0.7938, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,086 - Epoch:068, train_loss:0.8057, val_auc:0.7361, val_ap: 0.8024, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,103 - Epoch:069, train_loss:0.8052, val_auc:0.7361, val_ap: 0.8075, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,120 - Epoch:070, train_loss:0.8334, val_auc:0.7222, val_ap: 0.8024, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,139 - Epoch:071, train_loss:0.8182, val_auc:0.7222, val_ap: 0.8045, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,156 - Epoch:072, train_loss:0.7864, val_auc:0.7222, val_ap: 0.8045, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,173 - Epoch:073, train_loss:0.8640, val_auc:0.7361, val_ap: 0.8091, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,190 - Epoch:074, train_loss:0.8040, val_auc:0.7569, val_ap: 0.8178, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,207 - Epoch:075, train_loss:0.7482, val_auc:0.7569, val_ap: 0.8193, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,224 - Epoch:076, train_loss:0.7494, val_auc:0.7569, val_ap: 0.8193, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,242 - Epoch:077, train_loss:0.8215, val_auc:0.7569, val_ap: 0.8199, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,259 - Epoch:078, train_loss:0.8405, val_auc:0.7222, val_ap: 0.8159, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,276 - Epoch:079, train_loss:0.7919, val_auc:0.7014, val_ap: 0.8073, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,293 - Epoch:080, train_loss:0.8202, val_auc:0.6875, val_ap: 0.8026, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,310 - Epoch:081, train_loss:0.8074, val_auc:0.6736, val_ap: 0.7926, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,327 - Epoch:082, train_loss:0.7954, val_auc:0.6736, val_ap: 0.7834, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,345 - Epoch:083, train_loss:0.7906, val_auc:0.6944, val_ap: 0.7862, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,362 - Epoch:084, train_loss:0.8318, val_auc:0.6944, val_ap: 0.7862, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,378 - Epoch:085, train_loss:0.7978, val_auc:0.6944, val_ap: 0.8004, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,396 - Epoch:086, train_loss:0.8179, val_auc:0.6944, val_ap: 0.8065, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,414 - Epoch:087, train_loss:0.7614, val_auc:0.6944, val_ap: 0.8065, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,432 - Epoch:088, train_loss:0.8011, val_auc:0.6875, val_ap: 0.8047, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,450 - Epoch:089, train_loss:0.8027, val_auc:0.6944, val_ap: 0.8065, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,466 - Epoch:090, train_loss:0.8192, val_auc:0.6875, val_ap: 0.7939, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,484 - Epoch:091, train_loss:0.8203, val_auc:0.7083, val_ap: 0.8003, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,502 - Epoch:092, train_loss:0.8142, val_auc:0.7014, val_ap: 0.7898, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,519 - Epoch:093, train_loss:0.7701, val_auc:0.7014, val_ap: 0.7886, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,535 - Epoch:094, train_loss:0.7685, val_auc:0.6806, val_ap: 0.7811, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,553 - Epoch:095, train_loss:0.7971, val_auc:0.6528, val_ap: 0.7733, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,572 - Epoch:096, train_loss:0.7633, val_auc:0.6736, val_ap: 0.7998, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,590 - Epoch:097, train_loss:0.8366, val_auc:0.6667, val_ap: 0.7970, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,607 - Epoch:098, train_loss:0.7707, val_auc:0.6667, val_ap: 0.7917, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,624 - Epoch:099, train_loss:0.8684, val_auc:0.6667, val_ap: 0.7917, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,643 - Epoch:100, train_loss:0.7781, val_auc:0.7014, val_ap: 0.8026, text_auc:0.8860, text_ap: 0.8871
2023-04-22 14:27:09,660 - Epoch:101, train_loss:0.7953, val_auc:0.7361, val_ap: 0.8139, text_auc:0.8860, text_ap: 0.8871
