2023-04-22 15:24:35,932 - args: Namespace(dataset='squirrel', datapath='../dataset', log_dir='logs/', name='debug', epoch=200, model_lr=0.01, val_frac=0.05, test_frac=0.15, dropout=0, model='VGAE', gpu=-1, trails=5, seed=-1, argv=['/home/dell/zxj/VGDAE_TNNLS_1/VGDAE/Updata/other_dataset/VGNAE/main_VGAE.py'], device=device(type='cuda', index=1))
2023-04-22 15:24:41,587 - Epoch:000, train_loss:9.9844, val_auc:0.8786, val_ap: 0.8451, text_auc:0.8804, text_ap: 0.8485
2023-04-22 15:24:41,929 - Epoch:001, train_loss:9.6728, val_auc:0.8811, val_ap: 0.8483, text_auc:0.8829, text_ap: 0.8517
2023-04-22 15:24:42,277 - Epoch:002, train_loss:9.5283, val_auc:0.8824, val_ap: 0.8500, text_auc:0.8842, text_ap: 0.8535
2023-04-22 15:24:42,572 - Epoch:003, train_loss:9.2660, val_auc:0.8832, val_ap: 0.8510, text_auc:0.8850, text_ap: 0.8545
2023-04-22 15:24:42,830 - Epoch:004, train_loss:9.1379, val_auc:0.8837, val_ap: 0.8516, text_auc:0.8855, text_ap: 0.8551
2023-04-22 15:24:43,186 - Epoch:005, train_loss:8.9387, val_auc:0.8840, val_ap: 0.8520, text_auc:0.8858, text_ap: 0.8555
2023-04-22 15:24:43,477 - Epoch:006, train_loss:8.7264, val_auc:0.8842, val_ap: 0.8522, text_auc:0.8860, text_ap: 0.8558
2023-04-22 15:24:43,812 - Epoch:007, train_loss:8.5330, val_auc:0.8843, val_ap: 0.8524, text_auc:0.8861, text_ap: 0.8560
2023-04-22 15:24:44,153 - Epoch:008, train_loss:8.3863, val_auc:0.8844, val_ap: 0.8526, text_auc:0.8862, text_ap: 0.8561
2023-04-22 15:24:44,440 - Epoch:009, train_loss:8.1945, val_auc:0.8845, val_ap: 0.8527, text_auc:0.8863, text_ap: 0.8562
2023-04-22 15:24:44,814 - Epoch:010, train_loss:7.9948, val_auc:0.8846, val_ap: 0.8527, text_auc:0.8864, text_ap: 0.8563
2023-04-22 15:24:45,098 - Epoch:011, train_loss:7.8824, val_auc:0.8846, val_ap: 0.8528, text_auc:0.8864, text_ap: 0.8564
2023-04-22 15:24:45,369 - Epoch:012, train_loss:7.7410, val_auc:0.8846, val_ap: 0.8529, text_auc:0.8865, text_ap: 0.8564
2023-04-22 15:24:45,743 - Epoch:013, train_loss:7.5946, val_auc:0.8847, val_ap: 0.8529, text_auc:0.8865, text_ap: 0.8565
2023-04-22 15:24:46,043 - Epoch:014, train_loss:7.3354, val_auc:0.8847, val_ap: 0.8530, text_auc:0.8866, text_ap: 0.8565
2023-04-22 15:24:46,361 - Epoch:015, train_loss:7.2486, val_auc:0.8847, val_ap: 0.8530, text_auc:0.8866, text_ap: 0.8566
2023-04-22 15:24:46,721 - Epoch:016, train_loss:7.1192, val_auc:0.8848, val_ap: 0.8530, text_auc:0.8866, text_ap: 0.8566
2023-04-22 15:24:46,996 - Epoch:017, train_loss:6.9618, val_auc:0.8848, val_ap: 0.8531, text_auc:0.8866, text_ap: 0.8566
2023-04-22 15:24:47,302 - Epoch:018, train_loss:6.8521, val_auc:0.8848, val_ap: 0.8531, text_auc:0.8867, text_ap: 0.8567
2023-04-22 15:24:47,643 - Epoch:019, train_loss:6.7053, val_auc:0.8848, val_ap: 0.8531, text_auc:0.8867, text_ap: 0.8567
2023-04-22 15:24:47,852 - Epoch:020, train_loss:6.6088, val_auc:0.8849, val_ap: 0.8531, text_auc:0.8867, text_ap: 0.8567
2023-04-22 15:24:48,125 - Epoch:021, train_loss:6.4589, val_auc:0.8849, val_ap: 0.8532, text_auc:0.8867, text_ap: 0.8567
2023-04-22 15:24:48,473 - Epoch:022, train_loss:6.3079, val_auc:0.8849, val_ap: 0.8532, text_auc:0.8868, text_ap: 0.8568
2023-04-22 15:24:48,748 - Epoch:023, train_loss:6.2567, val_auc:0.8849, val_ap: 0.8532, text_auc:0.8868, text_ap: 0.8568
2023-04-22 15:24:49,039 - Epoch:024, train_loss:6.1182, val_auc:0.8849, val_ap: 0.8532, text_auc:0.8868, text_ap: 0.8568
2023-04-22 15:24:49,397 - Epoch:025, train_loss:6.0146, val_auc:0.8850, val_ap: 0.8532, text_auc:0.8868, text_ap: 0.8568
2023-04-22 15:24:49,685 - Epoch:026, train_loss:5.9822, val_auc:0.8850, val_ap: 0.8533, text_auc:0.8868, text_ap: 0.8569
2023-04-22 15:24:50,040 - Epoch:027, train_loss:5.8128, val_auc:0.8850, val_ap: 0.8533, text_auc:0.8869, text_ap: 0.8569
2023-04-22 15:24:50,346 - Epoch:028, train_loss:5.7324, val_auc:0.8850, val_ap: 0.8533, text_auc:0.8869, text_ap: 0.8569
2023-04-22 15:24:50,652 - Epoch:029, train_loss:5.6312, val_auc:0.8850, val_ap: 0.8533, text_auc:0.8869, text_ap: 0.8569
2023-04-22 15:24:50,966 - Epoch:030, train_loss:5.5363, val_auc:0.8850, val_ap: 0.8534, text_auc:0.8869, text_ap: 0.8570
2023-04-22 15:24:51,301 - Epoch:031, train_loss:5.4556, val_auc:0.8851, val_ap: 0.8534, text_auc:0.8869, text_ap: 0.8570
2023-04-22 15:24:51,568 - Epoch:032, train_loss:5.4096, val_auc:0.8851, val_ap: 0.8534, text_auc:0.8869, text_ap: 0.8570
2023-04-22 15:24:51,928 - Epoch:033, train_loss:5.3289, val_auc:0.8851, val_ap: 0.8534, text_auc:0.8870, text_ap: 0.8570
2023-04-22 15:24:52,212 - Epoch:034, train_loss:5.1807, val_auc:0.8851, val_ap: 0.8534, text_auc:0.8870, text_ap: 0.8570
2023-04-22 15:24:52,433 - Epoch:035, train_loss:5.1247, val_auc:0.8851, val_ap: 0.8535, text_auc:0.8870, text_ap: 0.8571
2023-04-22 15:24:52,737 - Epoch:036, train_loss:5.0561, val_auc:0.8851, val_ap: 0.8535, text_auc:0.8870, text_ap: 0.8571
2023-04-22 15:24:53,140 - Epoch:037, train_loss:4.9728, val_auc:0.8852, val_ap: 0.8535, text_auc:0.8870, text_ap: 0.8571
2023-04-22 15:24:53,417 - Epoch:038, train_loss:4.9191, val_auc:0.8852, val_ap: 0.8535, text_auc:0.8871, text_ap: 0.8571
2023-04-22 15:24:53,710 - Epoch:039, train_loss:4.8722, val_auc:0.8852, val_ap: 0.8535, text_auc:0.8871, text_ap: 0.8572
2023-04-22 15:24:54,076 - Epoch:040, train_loss:4.8115, val_auc:0.8852, val_ap: 0.8536, text_auc:0.8871, text_ap: 0.8572
2023-04-22 15:24:54,418 - Epoch:041, train_loss:4.7295, val_auc:0.8852, val_ap: 0.8536, text_auc:0.8871, text_ap: 0.8572
2023-04-22 15:24:54,744 - Epoch:042, train_loss:4.7359, val_auc:0.8852, val_ap: 0.8536, text_auc:0.8871, text_ap: 0.8572
2023-04-22 15:24:55,109 - Epoch:043, train_loss:4.6440, val_auc:0.8853, val_ap: 0.8536, text_auc:0.8872, text_ap: 0.8573
2023-04-22 15:24:55,472 - Epoch:044, train_loss:4.5500, val_auc:0.8853, val_ap: 0.8536, text_auc:0.8872, text_ap: 0.8573
2023-04-22 15:24:55,789 - Epoch:045, train_loss:4.5185, val_auc:0.8853, val_ap: 0.8537, text_auc:0.8872, text_ap: 0.8573
2023-04-22 15:24:56,163 - Epoch:046, train_loss:4.4741, val_auc:0.8853, val_ap: 0.8537, text_auc:0.8872, text_ap: 0.8573
2023-04-22 15:24:56,525 - Epoch:047, train_loss:4.4204, val_auc:0.8853, val_ap: 0.8537, text_auc:0.8872, text_ap: 0.8573
2023-04-22 15:24:56,783 - Epoch:048, train_loss:4.3637, val_auc:0.8853, val_ap: 0.8537, text_auc:0.8873, text_ap: 0.8574
2023-04-22 15:24:57,143 - Epoch:049, train_loss:4.3234, val_auc:0.8854, val_ap: 0.8538, text_auc:0.8873, text_ap: 0.8574
2023-04-22 15:24:57,500 - Epoch:050, train_loss:4.2854, val_auc:0.8854, val_ap: 0.8538, text_auc:0.8873, text_ap: 0.8574
2023-04-22 15:24:57,719 - Epoch:051, train_loss:4.2389, val_auc:0.8854, val_ap: 0.8538, text_auc:0.8873, text_ap: 0.8574
2023-04-22 15:24:58,002 - Epoch:052, train_loss:4.1896, val_auc:0.8854, val_ap: 0.8538, text_auc:0.8873, text_ap: 0.8575
2023-04-22 15:24:58,385 - Epoch:053, train_loss:4.1492, val_auc:0.8854, val_ap: 0.8538, text_auc:0.8874, text_ap: 0.8575
2023-04-22 15:24:58,657 - Epoch:054, train_loss:4.0801, val_auc:0.8855, val_ap: 0.8539, text_auc:0.8874, text_ap: 0.8575
2023-04-22 15:24:58,860 - Epoch:055, train_loss:4.0532, val_auc:0.8855, val_ap: 0.8539, text_auc:0.8874, text_ap: 0.8576
2023-04-22 15:24:59,209 - Epoch:056, train_loss:4.0294, val_auc:0.8855, val_ap: 0.8539, text_auc:0.8874, text_ap: 0.8576
2023-04-22 15:24:59,552 - Epoch:057, train_loss:3.9817, val_auc:0.8855, val_ap: 0.8539, text_auc:0.8874, text_ap: 0.8576
2023-04-22 15:24:59,803 - Epoch:058, train_loss:3.9433, val_auc:0.8855, val_ap: 0.8540, text_auc:0.8875, text_ap: 0.8576
2023-04-22 15:25:00,128 - Epoch:059, train_loss:3.9024, val_auc:0.8856, val_ap: 0.8540, text_auc:0.8875, text_ap: 0.8577
